127.0.0.1 - - [19/Dec/2018:08:49:51 -0500] "GET / HTTP/1.1" 404 1074
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 466
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:13:58:22 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:30:58 -0500] "GET /Server4/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:14:30:59 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:14:30:59 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:14:30:59 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:14:30:59 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:14:30:59 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:14:30:59 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:14:30:59 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:14:30:59 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:14:30:59 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:14:30:59 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 472
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 473
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 473
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 473
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 473
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 466
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:31:00 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:46:56 -0500] "GET /Server4/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 457
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Subtract.SubtractHttpSoap11Endpoint/ HTTP/1.1" 200 456
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 471
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 466
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:46:58 -0500] "POST /Server4/services/Divide.DivideHttpSoap11Endpoint/ HTTP/1.1" 200 465
127.0.0.1 - - [19/Dec/2018:14:47:25 -0500] "GET /Server4/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:14:47:25 -0500] "POST /Server4/services/Multiply.MultiplyHttpSoap11Endpoint/ HTTP/1.1" 200 474
127.0.0.1 - - [19/Dec/2018:15:04:49 -0500] "GET /Server4/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:15:04:49 -0500] "GET /Server4/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:15:04:49 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:15:06:02 -0500] "GET /Server4/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:15:06:02 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:15:06:02 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:06:26 -0500] "GET /Server4/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:15:06:27 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:06:27 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:06:47 -0500] "GET /Server4/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:15:06:47 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:06:47 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:15:07:29 -0500] "GET /Server4/ HTTP/1.1" 200 3736
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 97
127.0.0.1 - - [19/Dec/2018:15:07:31 -0500] "POST /Server4/services/Add.AddHttpEndpoint/add HTTP/1.1" 200 96
